"ID","OpeBal","RediscBills","SlFacility","SdFacility","Repo","RevRepo","OmoSales","OmoRepay","PmSales","PmRepay","Crr","NetWdas","StatAlloc","JvCash","NetClr","NdicPrem","OMajor","RecDate"
"2419","132848.33","0","190838.49","11350","24400","0","0","0","0","0","0","0","0","0","0","0","0","5/10/2021",
"2418","183992.05","0","130136.01","6000","65296","0","17062","0","0","0","0","0","0","0","0","0","0","5/7/2021",
"2417","100084.04","0","238581.7","5420","34860.33","0","0","0","0","0","0","0","0","0","0","0","0","5/6/2021",
"2416","161505.52","0","345834.33","4000","227200","0","0","0","0","0","0","0","0","0","0","0","0","5/5/2021",
"2415","82389.16","0","108818.55","3770.3","40000","0","0","30000","0","0","0","0","0","0","0","0","0","5/4/2021",
"2414","507838.64","0","49296.9","16000","246053.2","0","20000","0","0","0","0","0","0","0","0","0","0","4/30/2021",
"2413","223069.08","0","126643.83","6800","150027.42","0","0","0","129462","88463.58","0","0","0","0","0","0","0","4/29/2021",
"2412","105640.27","0","242244.14","1755.7","113805.08","0","0","0","0","0","0","0","0","0","0","0","0","4/28/2021",
"2411","124304.22","0","293120.01","2882.4","187688.6","0","0","40000","0","0","0","0","0","0","0","0","0","4/27/2021",
"2410","65948.22","0","309711.05","1200","31760","0","0","0","0","0","0","0","0","0","0","0","0","4/26/2021",
"2409","83202.54","0","187786.47","5825","10400","0","12843.91","0","157952","0","0","0","0","0","0","0","0","4/23/2021",
"2408","76200.23","0","189421.06","3823.19","24965","0","0","0","0","0","0","0","0","0","0","0","0","4/22/2021",
"2407","132970.12","0","149003.98","818.9","108372.28","0","0","0","0","0","0","0","0","0","0","0","0","4/21/2021",
"2406","124682.96","0","105095.08","4136.1","46400","0","0","20000","0","0","0","0","0","0","0","0","0","4/20/2021",
"2405","105458.32","0","68235.94","6939.7","65500","0","0","0","0","0","0","0","0","0","0","0","0","4/19/2021",
"2404","331065.84","0","3800","17028.9","275046.52","0","20000","0","0","0","0","0","0","0","0","0","0","4/16/2021",
"2403","147204.37","0","143470.15","7650","147418.05","0","0","0","153379.93","69559.44","0","0","0","0","0","0","0","4/15/2021",
"2402","135122.43","0","34319.09","4900","64577.49","0","0","0","0","0","0","0","0","0","0","0","0","4/14/2021",
"2401","91542.68","0","112992.72","14944.2","0","0","0","20000","0","0","0","0","0","0","0","0","0","4/13/2021",
"2400","91785.34","0","98937.3","16240.9","5272.5","0","0","0","0","0","0","0","0","0","0","0","0","4/12/2021",
"2399","103369.77","0","159160.36","10750","2907","0","20000","0","0","0","0","0","0","0","0","0","0","4/9/2021",
"2398","161676.28","0","112721.41","8000","38816.85","0","0","0","0","0","0","0","0","0","0","0","0","4/8/2021",
"2397","162811.84","0","73376.89","7346.2","133000","0","0","0","0","0","0","0","0","0","0","0","0","4/7/2021",
"2396","75614.3","0","25180.62","4699.9","9500","0","34000","0","0","0","0","0","0","0","0","0","0","4/6/2021",
"2395","551471.75","0","0","28000","138700","0","100000","0","144831.12","95681.05","0","0","0","0","0","0","0","4/1/2021",
"2394","343991.17","0","475","33684.1","23845","0","0","0","0","0","0","0","0","0","0","0","0","3/31/2021",
"2393","195811.61","0","2877.5","14882.2","48900","0","0","169249.93","0","0","0","0","0","0","0","0","0","3/30/2021",
"2392","156282.19","0","11520.08","13172.5","70300","0","0","0","0","0","0","0","0","0","0","0","0","3/29/2021",
"2391","410078.29","0","73481.99","18753","6500.09","0","45000","0","262100","0","0","0","0","0","0","0","0","3/26/2021",
"2390","289875.81","0","126765.97","12400","15010","0","0","0","0","0","0","0","0","0","0","0","0","3/25/2021",
"2389","102972.87","0","18120.85","10759.18","104570.3","0","0","0","0","0","0","0","0","0","0","0","0","3/24/2021",
"2388","136723.7","0","77948.99","11550","44906.5","0","0","43000","0","0","0","0","0","0","0","0","0","3/23/2021",
"2387","96436.29","0","0","10042.95","13661","0","0","0","0","0","0","0","0","0","0","0","0","3/22/2021",
"2386","449373.81","0","826.46","32230.9","21850","0","100000","0","0","0","0","0","0","0","0","0","0","3/19/2021",
"2385","367699.55","0","107295.03","22750","28405","0","0","0","61901.18","47061.26","0","0","0","0","0","0","0","3/18/2021",
"2384","186395.52","0","2703","9786.25","33250","0","0","0","0","0","0","0","0","0","0","0","0","3/17/2021",
"2383","100929.82","0","38090.15","17600","1520","0","0","113527.64","0","0","0","0","0","0","0","0","0","3/16/2021",
"2382","143359.23","0","105173.24","11577.94","121840.05","0","0","0","0","0","0","0","0","0","0","0","0","3/15/2021",
"2381","116453.81","0","78906.9","8477.88","20213.59","0","60000","0","0","0","0","0","0","0","0","0","0","3/12/2021",
"2380","165232.57","0","50444.77","18000","48925","0","0","0","108769.43","88908.88","0","0","0","0","0","0","0","3/11/2021",
"2379","159739.32","0","998.36","14464.83","0","0","0","0","0","0","0","0","0","0","0","0","0","3/10/2021",
"2378","174968.58","0","123151","12058.16","23750","0","0","50000","0","0","0","0","0","0","0","0","0","3/9/2021",
"2376","106688.27","0","1049.42","12349","39900","0","0","0","0","0","0","0","0","0","0","0","0","3/8/2021",
"2373","602967.24","0","0","37800","12740.5","0","90000","0","0","0","0","0","0","0","0","0","0","3/5/2021",
"2372","405572.16","0","0","18016.16","8959.45","0","0","0","0","0","0","0","0","0","0","0","0","3/4/2021",
"2371","384073.28","0","13992.39","26805.59","5006.5","0","0","0","0","0","0","0","0","0","0","0","0","3/3/2021",
"2369","303258.41","0","51547.5","25205.58","0","0","0","124805.11","0","0","0","0","0","0","0","0","0","3/2/2021",
"2370","255538.85","0","19315.12","0","99987.5","0","0","0","0","0","0","0","0","0","0","0","0","3/1/2021",
"2367","204078.54","0","6018.29","28600","13660.59","0","325464.16","0","0","0","0","0","0","0","0","0","0","2/26/2021",
"2366","636044.25","0","25150.45","30075.29","0","0","0","0","147257.22","128217.82","0","0","0","0","0","0","0","2/25/2021",
"2365","655329.01","0","2368.58","38175","0","0","0","0","0","0","0","0","0","0","0","0","0","2/24/2021",
"2364","317650.04","0","94642.93","12537.8","0","0","0","423789.6","0","0","0","0","0","0","0","0","0","2/23/2021",
"2363","77317.57","0","2693.2","500","5700","0","0","0","0","0","0","0","0","0","0","0","0","2/22/2021",
"2362","617036.46","0","6688.04","38000","58179","0","180000","0","202550","0","0","0","0","0","0","0","0","2/19/2021",
"2361","548429.98","0","3655.5","38050","0","0","0","0","0","0","0","0","0","0","0","0","0","2/18/2021",
"2360","556011.11","0","0","35000","0","0","0","0","0","0","0","0","0","0","0","0","0","2/17/2021",
"2359","221956.2","0","0","33500","0","0","0","207844.37","0","0","0","0","0","0","0","0","0","2/16/2021",
"2358","247764.12","0","0","29673.03","99987.5","0","0","0","0","0","0","0","0","0","0","0","0","2/15/2021",
"2357","345178.02","0","0","32187.58","0","0","169000","0","0","0","0","0","0","0","0","0","0","2/12/2021",
"2355","488060.13","0","90780","29722.3","0","0","0","0","130875.62","169783.59","0","0","0","0","0","0","0","2/11/2021",
"2354","453350.72","0","3705.73","32015","0","0","0","0","0","0","0","0","0","0","0","0","0","2/10/2021",
"2353","139162","0","61863.57","4090","0","0","0","200762.94","0","0","0","0","0","0","0","0","0","2/9/2021",
"2352","291965.09","0","15560.29","9726.8","99987.5","0","0","0","0","0","0","0","0","0","0","0","0","2/8/2021",
